"","decayrate","logsd","sdmean","saleprob","base_awelfare","base_twelfare","base_assetprice","rot_awelfare","rot_twelfare","alloc_tau","alloc_tau_awelfare","total_tau","total_tau_twelfare","total_tau_awelfare"
"1",0.88,1.13902253738292,0.199911129214682,0.0679678804423531,3.66122930149812,5.55757768079289,96.7137673440327,4.03659355548505,5.88766790814924,0.127386130143605,4.18740601564877,0.0519541482965121,5.90998651296664,4.10675901749007
"2",0.882,1.13451572631661,0.199907258572414,0.0674551884773645,3.66084796839883,5.56338630836551,97.0294553383002,4.03358821641611,5.89130307936589,0.126255117278279,4.18307202807063,0.0515588074050944,5.91354839331399,4.10326956470716
"3",0.884,1.12998049767912,0.199904764113793,0.0669356366417814,3.6605479058244,5.56943523172323,97.3532536208401,4.03069475479108,5.89521446539286,0.124871273045208,4.17883608944086,0.0510522863284863,5.91738316670454,4.09957130349707
"4",0.886,1.12538524745779,0.199899674724216,0.0664080386275411,3.66017476585448,5.57545613654134,97.6793499050299,4.02767695546687,5.89905593887453,0.123447713485692,4.17447265364936,0.0509935533852271,5.92115290124049,4.09707893678988
"5",0.888,1.12077993089973,0.199896694982083,0.0658692469213229,3.66000048222693,5.58161836425679,98.0025119835229,4.02489317286967,5.90308917125056,0.122150264722424,4.17036296052783,0.0503439984276577,5.92513440978519,4.09311100715917
"6",0.89,1.11613198672113,0.199890127416503,0.0653218449442018,3.65987809189537,5.58825234289074,98.3470868007637,4.0221180939798,5.90755244006335,0.120768934823159,4.1662671303933,0.0502484167128206,5.92955785203394,4.09081134796458
"7",0.892,1.1114443214848,0.199891729417338,0.0647657636748096,3.65979485111118,5.59508058384836,98.6995723695961,4.01939912242794,5.91223459161351,0.119485335566751,4.16222176637834,0.0496396035466457,5.9341972513095,4.08706553580342
"8",0.894,1.10672479431111,0.199891624687485,0.0641995956600833,3.65984104104605,5.6019140155038,99.045721697345,4.01678337541899,5.91691107930574,0.11788118787439,4.1582958696981,0.0493852156320212,5.93885432386424,4.08449503002265
"9",0.896,1.10196636161096,0.19988397013322,0.0636242031601969,3.65994796524204,5.60928767704102,99.4163253017479,4.01424285100209,5.9221435457069,0.1166665189939,4.15444599507986,0.0488833002436763,5.94406869015868,4.08129205770148
"10",0.898,1.09716101877654,0.199879944141319,0.0630370205632632,3.66011936153372,5.61687371129967,99.7944718380632,4.01172835646893,5.92756143135113,0.115015275611726,4.15062513073237,0.048485636238122,5.94947824866259,4.07844541238995
"11",0.9,1.0923213712559,0.199878286211025,0.0624416911883166,3.66041477455082,5.62478861801203,100.183066016521,4.00934639397599,5.93332283997416,0.113616503629646,4.14693731750937,0.0479789386107388,5.95523449981458,4.07542518875681
"12",0.902,1.08744227447356,0.199873904778593,0.0618362865517188,3.66081621946813,5.63271138647468,100.566653517334,4.00706709624658,5.93910327228043,0.112177611358141,4.14335814078741,0.0476899226751007,5.9610382256791,4.07318130006052
"13",0.904,1.08251265578724,0.199869237130852,0.0612180387605071,3.66128424961557,5.6411721556484,100.974283207674,4.00481348731682,5.94538690029602,0.110777387891991,4.13981621979503,0.0472979711959143,5.96734089113394,4.07067847753094
"14",0.906,1.07745157095056,0.199841716992573,0.06059613220297,3.66129933813089,5.64908339603713,101.376986953218,4.00204889578689,5.95106999632873,0.109106958049278,4.13572476101265,0.0467955240370323,5.97304090598289,4.06733688334766
"15",0.908,1.07244311917621,0.199837687099334,0.0599563378109239,3.66206532658731,5.6580020729918,101.792774066629,4.00006500169503,5.95780647586984,0.107713313035688,4.13246917777688,0.0462986615950084,5.97984041908971,4.06486133519491
"16",0.91,1.06737623432441,0.199828550584464,0.0593063637055303,3.66285895670779,5.66744079851347,102.233673932089,3.99811506482742,5.96507234040346,0.106349642356192,4.12923686264263,0.0459823913882651,5.98716401985647,4.06296193589525
"17",0.912,1.06227827376751,0.199829163084934,0.0586449449176301,3.6638878707848,5.67711126822199,102.674393269297,3.9963965657191,5.97257999797201,0.104834670925143,4.12624454364651,0.0455906445009189,5.99474831325632,4.06110064107028
"18",0.914,1.05713371951235,0.199823142929579,0.0579716084049263,3.66507214003609,5.68750610596049,103.144132262145,3.99482581827577,5.98080827722909,0.103286071264109,4.12339976667301,0.0451210287095066,6.00305644331906,4.05918349012635
"19",0.916,1.0519305643437,0.199814816077491,0.057285745527139,3.66633286391717,5.69821817475306,103.626150852631,3.99331360516253,5.98934657501715,0.102018492586413,4.12062757439035,0.044793221028641,6.01169922303789,4.05777957865595
"20",0.918,1.04669296484817,0.199813224278251,0.0565855435324804,3.66789631668677,5.70926054296577,104.109575540229,3.99207375912538,5.99820120604993,0.100538506410217,4.11813319255637,0.0443860874535307,6.02066986435094,4.05643922345755
"21",0.92,1.04139549182123,0.199807059209065,0.0558751399153945,3.66956851871848,5.72099930674231,104.622970189215,3.99094403999116,6.0077556695066,0.0988588109976013,4.11574617725665,0.0437027428062129,6.0303536071296,4.05443292561466
"22",0.922,1.03603976904585,0.199797199180342,0.0551495095567655,3.67138416492801,5.73318049864627,105.151613019631,3.98993731153666,6.01774486818754,0.0974188993876823,4.1134958054258,0.0433584201392765,6.04049239391333,4.05357924975499
"23",0.924,1.03064903850266,0.199791083034315,0.0544108876426658,3.67354990267824,5.74582250960305,105.685902953166,3.98927677133462,6.02820428705228,0.09562747809811,4.11158772406492,0.0430776235642175,6.05112050049061,4.0532881942098
"24",0.926,1.02520409780545,0.199784640188141,0.0536578528375975,3.67594457850645,5.75936270938373,106.254324674742,3.98883127049569,6.03955385220452,0.0940245759305161,4.10990283498374,0.0425329167900412,6.06264252010521,4.05246755121585
