"","logsd","decayrate","sdmean","saleprob","base_awelfare","base_twelfare","base_assetprice","rot_awelfare","rot_twelfare","alloc_tau","alloc_tau_awelfare","total_tau","total_tau_twelfare","total_tau_awelfare"
"1",0.5,0.971831908251577,0.100246537198965,0.0497581827555325,1.93771139804659,3.13421655897923,61.0217632075649,2.00822035501224,3.18833855234233,0.0789742789785633,2.03564771799184,0.0272911383573305,3.18861894861296,2.01147582558897
"2",0.52,0.970589647750664,0.104207003211059,0.0497582855118981,1.98920455325297,3.21416951858301,62.4732132318317,2.06479526858455,3.27298343091375,0.0791528416898843,2.09420207640874,0.0279895985862716,3.27344218171666,2.06921821788251
"3",0.54,0.969334003712398,0.108169028063636,0.0497586038495958,2.04204636501913,3.29613737008429,63.9586412583233,2.12295570099661,3.35987080136046,0.0795975093428484,2.1544339892098,0.0286719345935067,3.36056016516883,2.12863752706853
"4",0.56,0.968065687464875,0.11214015669608,0.049759681354773,2.09627427953827,3.38018435016251,65.4794136018362,2.18276254000425,3.44908761739372,0.0798866867053784,2.21640720826501,0.0292844857887082,3.45005424356081,2.18971150890441
"5",0.58,0.966783190959777,0.116119552657975,0.0497609234993459,2.15190921294613,3.46633780658587,67.0358582756269,2.2442479543912,3.54067274589296,0.0799470138070397,2.28015479023114,0.0298323863492073,3.54196239659452,2.25247042257642
"6",0.6,0.965485477014855,0.120103820420422,0.0497620128303965,2.20901742421126,3.55481976752779,68.6359195091428,2.30743598467306,3.63480406704212,0.0799514142976852,2.34570994947001,0.0304796322210205,3.63647238610277,2.3171936053365
"7",0.62,0.964174487716396,0.124089711632975,0.0497619090084185,2.26757778050383,3.64536139780141,70.2669644821761,2.37241102256632,3.73132238355407,0.0805891139812772,2.41315866921364,0.0310484274403656,3.73342289557851,2.38369721956876
"8",0.64,0.962848017888655,0.128086004115201,0.0497620834614201,2.32768161858078,3.73836304270994,71.9447526305873,2.439186647669,3.83054507354358,0.0809095330896501,2.48252480739714,0.0316104232980186,3.83313784455354,2.4521098766822
"9",0.66,0.961505590665008,0.132084569989313,0.0497631582374303,2.38928052501276,3.83345502767812,73.6528996359335,2.5078105358442,3.93220249055967,0.0814497234562655,2.5538602317611,0.0321527894240917,3.93534956833864,2.52245743927166
"10",0.68,0.960146669718476,0.136088357770443,0.0497652518005622,2.4524883536332,3.93112694753518,75.4105682890003,2.57833658116748,4.0367189889325,0.0809426972647264,2.62721180672375,0.032713180793886,4.04047671385949,2.59485628997213
"11",0.7,0.95877054254885,0.140094794274128,0.0497654050012277,2.5172906179874,4.0312010689918,77.2094330012246,2.65080158596027,4.14397253849569,0.0816906561789847,2.70263290983552,0.0331927559676107,4.14840370508744,2.66917469011875
"12",0.72,0.95737710388815,0.144105570939551,0.0497674400891211,2.58370207296368,4.13349827894994,79.0396065052992,2.72526929833433,4.25383282414185,0.081856727796553,2.78018061074931,0.0335719695951965,4.25899834894606,2.74542031451002
"13",0.74,0.955964806454532,0.148118483660166,0.0497683437864815,2.65179583092285,4.23851541291532,80.9226986816162,2.80175104952322,4.3667313749759,0.082295089176584,2.8598891652195,0.0343387837341713,4.37271055890483,2.82456746512674
"14",0.76,0.954533985787287,0.1521324089136,0.0497686174188512,2.72158918123877,4.34609886109234,82.8499936725316,2.88033914370776,4.48259159253111,0.0823766039164874,2.94183327134277,0.0347407406441222,4.48943759050956,2.90523430294029
"15",0.78,0.953082810194198,0.156147573070914,0.0497711891236911,2.79309429997273,4.45625297896403,84.8210926285557,2.9610194854316,4.60138927525974,0.0825398826859856,3.02604423136927,0.035233882218771,4.60920600730388,2.98833963035519
"16",0.8,0.951610576819671,0.160165897088597,0.0497720008713792,2.86634215100568,4.56876227694125,86.823426422714,3.04387981884111,4.72297239946238,0.083186486907765,3.11257687227591,0.0357473118510032,4.73182222909582,3.07379687894435
"17",0.82,0.950117578487414,0.164178153764873,0.0497737581024097,2.94139513137869,4.68423160624003,88.8846602179285,3.12895930445453,4.84791289889475,0.083270026245647,3.20150195835511,0.0361763540308067,4.85788993347781,3.16145434121415
"18",0.84,0.948600364788592,0.168189586103759,0.0497758819744575,3.01822594381992,4.80235415595333,90.9905388188715,3.21627063974904,4.97594824273775,0.0834420542968131,3.29282820509371,0.0367972841443929,4.98713324513942,3.25192830713961
"19",0.86,0.947061955632145,0.172203109351673,0.049776161983454,3.09693963778902,4.92330384885837,93.1445747645367,3.30595005018533,5.10728457331156,0.0839010226066561,3.38667605199903,0.0371660919935231,5.11974844722194,3.34433794425676
"20",0.88,0.945497388733753,0.176210384950608,0.0497789690592772,3.17747953631859,5.04698837026751,95.3449505313946,3.3979126590841,5.24179790638173,0.0841000616357481,3.48303077155249,0.0376720992313946,5.25566978801034,3.43955197653685
"21",0.9,0.943907044014708,0.180211790831949,0.0497815296818316,3.25990726258755,5.17348066877986,97.592243715808,3.49229515547248,5.37963858042243,0.0845597934672683,3.58196558617157,0.0381425379643028,5.39498450433535,3.53724352019633
