"","type","efficient_tradeprob","notax_tradeprob","allOpt_tau","allOpt_alloc_gain","allOpt_alloc_gain_pctmax","allOpt_tradeprob","totOpt_tau","totOpt_total_gain","totOpt_alloc_gain","totOpt_inv_loss","totOpt_tradeprob","totOpt_assetprice","notax_assetprice","totOpt_taxrev_npv","totOpt_assetprice_ratio","tau25_total_gain","tau5_total_gain","sdmean_moment","saleprob_moment"
"1","lognormal_beta",0.128934933142681,0.0500280511090733,0.086,0.0756148085390979,0.834236884959862,0.104001101166179,0.04,0.0536088120651853,0.066024968862373,-0.0124161567971878,0.07837951724109,57.2905711703442,109.528735265926,48.4666784893784,0.523064299348001,0.0492606652261774,0.0523207737315054,0.199965502477963,0.0500280511090736
"2","lognormal_mixbeta_25",0.120173074892898,0.0499791799084671,0.06,0.0468748684688026,0.73954435056056,0.0862304017954299,0.031,0.0337323139755419,0.0416963809791351,-0.00796406700359319,0.0702825584756221,51.417617096159,85.9586155624636,34.661671651204,0.598167115183414,0.0330961083106646,0.0283226460540712,0.200154004963489,0.0499791799085688
"3","lognormal_consjump",0.103446184947261,0.0500312855360316,0.027,0.0230630197139719,0.529188319580212,0.0673313416830317,0.019,0.018558041953796,0.0218352069410086,-0.00327716498721263,0.0629374258269295,50.3373946369642,69.6210009234128,22.3933441753612,0.723020266432802,0.0175658264856674,0.000268706657425394,0.199961674975852,0.0500312855360318
